framework,model,abs_error_onnx,rel_error_onnx,abs_error_coreml,rel_error_coreml,,abs_std_onnx,rel_std_onnx,abs_std_coreml,rel_std_coreml
Keras,lenet5,6.691967581333334e-09,9.492107493333333e-08,0.01457908212809524,0.1434647072142857,,4.064934214002386e-09,3.777718261900547e-08,0.006631949514893344,0.0671873091678373
Keras,resnet18,1.5660894629669998e-07,5.106125364e-06,0.16486909026000002,1.633044611,,2.866325380112653e-07,1.1664055313216824e-06,0.05356691850984063,0.15244112190553302
Keras,vgg,1.364759995e-07,2.069577102e-06,1.28721992493,523174.01598028,,8.248740732010554e-08,6.315716342640945e-07,36.57373165248444,1561251.481406408
Keras,lstm,inf,inf,6.848528091428571e-08,7.5335571047619066e-06,,nan,nan,1.7867101681682508e-07,3.879312904317467e-06
Keras,gru,inf,inf,5.677408397938144e-08,5.052171659793814e-06,,nan,nan,1.911785157356386e-07,2.5325950839137124e-06
pytorch,lenet5,8.907899233e-07,1.0753273677619048e-06,0.010299913177809523,0.004719099207619048,,1.3979369347065263e-07,1.6032379289833933e-06,0.0020609105426538355,0.012854436018855121
pytorch,resnet18,2.0189403027058822e-06,4.935657971764706e-06,0.006352004706470589,0.021808489805882354,,8.197905388219637e-08,4.6625383711540145e-06,0.0005326910594219041,0.030177551439152288
pytorch,vgg,4.251793420363637e-07,4.210748981818182e-06,6.885335950754546e-05,0.001695064415961818,,8.029260493276673e-08,5.048353914137874e-06,0.0002045159437816941,0.009427821763710728
pytorch,lstm,5.833504606133333e-08,6.794408256e-07,3.135855034e-08,1.4318890463999998e-07,,2.9438648872018113e-08,3.8839739679871643e-07,1.0121412146572592e-08,4.474729964306108e-08
pytorch,gru,5.5860247566666664e-08,4.1816195800000004e-07,3.2530223016666666e-08,1.3732447041666665e-07,,2.0305995039617976e-08,1.7806710765776234e-07,9.72675176349161e-09,3.2347437267612134e-08
